misconception_id,misconception,tweet_id,label
21,Fennel tea cures coronavirus.,1233953994126413824,na
47,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,1233906390453739520,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1233951361982779392,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1233917366817427456,na
25,Holy communion cannot be the cause of the spread of coronavirus,1233935755220856832,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1233976665178427392,na
18,Essential oils cure coronavirus.,1233980512554946560,na
62,Bank of England Â£20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,1233938042869735424,na
10,Coronavirus is caused by 5G.,1233962930363826176,na
19,Vitamin C cures coronavirus.,1233936587433631744,na
46,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,1233956246832721920,na
2,Drinking large amounts of water will protect against coronavirus.,1233963107547897856,na
30,Blowing conch shells destroys coronavirus potency.,1233936699886993408,na
38,Shaking hands cannot spread coronavirus.,1233959994585862144,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1233969396663480320,na
61,Lions were freed to keep people off the streets in Moscow.,1233910171530932224,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1233974271124234240,na
8,Vitamin C can prevent coronavirus circulation.,1233917253025845248,na
49,We're very close to a vaccine.,1233982861918732288,pos
54,The Simpsons predicted COVID-19 pandemic.,1233972268771840000,na
5,The first person infected is a researcher named Huang Yanling.,1233911500835672064,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1233952536173916160,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1233949347282325504,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1233927842129268736,pos
33,Eating cabbage prevents coronavirus infection.,1233923657048551424,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1233988029724987392,na
15,Coronavirus can only survive in cold temperatures.,1233962225020260352,pos
41,CBD oil is a cure for COVID-19.,1233928193083572224,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,1233958258647298048,na
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1233934463463067648,na
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1233953001485799424,na
40,Cannabis protects against COVID-19.,1233974639048585216,na
43,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,1233950331295404032,na
48,There will be 500 deaths at the end of the pandemic.,1233912533871943680,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1233912399444529152,na
50,It is safe for individuals infected with COVID-19 to go to work.,1233981108598951936,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1233992257885241344,na
51,COVID-19 is only as deadly as the seasonal flu.,1233927433994170368,neg
1,A person can tell if they have coronavirus or not simply by holding their breath.,1233917108204994560,na
3,Coronavirus is genetically engineered.,1233959895558500352,neg
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1233982414025871360,na
13,Whiskey and honey cure coronavirus.,1233935177065410560,na
37,Jamaat cannot become a source of infection.,1233964451885240320,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1233944785167106048,na
39,Salt water protects from coronavirus.,1233923657048551424,na
36,Chloroquine can cure coronavirus,1233979812152258560,na
55,Drinking Corona-brand beer causes COVID-19.,1233983700657897472,na
20,Vitamin D cures coronavirus.,1233952159005233152,na
24,Coronavirus is cured by shuanghuanglian.,1233977374880018432,na
17,Avocado and mint tea cures coronavirus.,1233992914855817216,na
7,Boiled ginger can cure coronavirus.,1233995191188676608,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1233926029405614080,na
16,Acetic acid is effective against coronavirus.,1233921052419465216,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1233983621335220224,na
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1233954572458188800,pos
29,Clapping will kill coronavirus.,1233908039373205504,na
42,Vitamin D pills prevent COVID-19.,1233939675280220160,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1233915902275571712,na
28,Using namaste as a greeting prevents transmission of covid-19.,1233980341087424512,na
22,Cocaine cures coronavirus.,1233992761646485504,na
9,Africans are more resistant to coronavirus.,1233959385010827264,na
12,Methanol consumption cures or protects against coronavirus.,1233950537143463936,na
22,Cocaine cures coronavirus,1230000000000000000,na
